P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P09517989A0476|64 66|CD4
P09193671A0347|66 68|ARF
P10490639A0000|69 71|Cdk
P10961046A0342|66 68|vWF
P07528772A0616|67 69|TCR
P08808707A0631|68 70|ERK
P11195401A1030|65 67|AVP
P08668210A0000|67 69|MEK
P09067577A0307|67 69|CRK
P11007954A0170|67 69|Sos
P02809722A0926|67 68|GH
P11478627A0573|63 64|Y1
P07789809A1246|64 65|Vc
P09079902A0713|66 67|Pk
P02894789A0954|66 67|T4
P07874060A0810|66 67|XO
P01542565A0220|66 67|L7
P08139004A0278|66 66|U
P09159183A0119|66 116|basic-region leucine zipper (bZIP) transcription factors
P07651398A0257|68 103|epidermal growth factor receptor homolog
P07735833A1078|67 99|seryl- and aspartyl-tRNA synthetases
P11006284T0000|70 95|insulin receptor substrate-1
P08245013A0000|69 93|G-protein-linked receptors
P02473907A1338|63 83|Fc epsilon R binding site
P08601283A0875|64 86|bacterial selenoproteins
P08035796A0890|68 88|casein kinase II mutants
P09525891T0000|67 89|cAMP-responsive sequence
P09774484T0000|69 91|glutathione peroxidase-1
P10893243T0000|70 90|t-complex polypeptide 1
P03275867A0187|67 86|silent mating type loci
P09639074A0707|66 85|DNA-protein complexes
P07490766T0000|70 88|c-Myc leucine zippers
P08794869A0274|66 83|alpha 2 integrin gene
P07708058A0178|66 83|activator protein-1
P10920186A0528|66 83|chimeric transcript
P11559789A0314|69 85|SF2 splicing factor
P08940298A0962|67 83|vitamin D3 receptor
P11222387A1497|65 81|ABL tyrosine kinase
P08308008A0201|66 82|ets sequence motifs
P02154599T0000|67 83|Epstein-Barr virus
P07823964A0922|67 83|C-terminal segment
P09083291A1378|68 82|G1 phase cyclin D1
P10679065A1217|72 87|CAT) reporter gene
P01844982A0324|72 87|rheumatoid factor
P02307848A0347|64 79|Crry-ps sequences
P10601290A0742|67 82|wild-type peptide
P09822685A0596|68 83|N-terminal region
P08468475A1280|70 84|IL-2R alpha chain
P09531538A0983|69 83|dU2AF38 RS domain
P01675424A0991|67 82|NADH-NR sequences
P09584180A0701|68 82|endogenous Stat6
P08887652A0341|67 80|con-10 promoter
P01532229A1264|67 79|a muscle factor
P03612648A0085|68 81|thromboplastin
P09819440A0783|69 81|RNA polymerase
P09362499A0000|67 79|DNA invertases
P11353770A0085|65 77|N-glycosylase
P09467955A0468|66 77|PEA3 promoter
P10207041A0065|66 76|cyclin genes
P08219081A0000|68 78|PR-1 protein
P02559630A0270|70 80|prothrombin
P09614106T0000|67 76|Col2a1 gene
P01551910A0313|69 79|DNA-protein
P06858805A0314|68 78|Trycophytin
P11031252A0646|66 75|HMW isoform
P09282911A0277|66 76|neurogranin
P01702972A0613|67 76|G0S19 genes
P07535768A1076|67 75|mouse MKP1
P10855796A1160|67 75|EphA8 gene
P09806857A0854|67 76|invertases
P08721999A0432|67 75|snoRNA U14
P10913276A0684|67 76|PLC-gamma1
P10369926A0251|67 74|human IL8
P09811718A0979a|66 73|HIV-1 nef
P09168134A0858|66 73|Sm-E gene
P09147420A0623|68 75|HIV-1 LTR
P11391531A1157|66 74|TNF-alpha
P11116148A0741|69 77|C/EBPbeta
P09046384A0403|69 75|amylase
P00984209A0614|67 73|gastrin
P10938109A1361|67 73|insulin
P10640683A0670|69 75|NeuroD2
P08245125A0822|70 75|actin'
P10490604A0601|66 71|ZAP-70
P09079650A0136|67 72|p42/44
P10521509A0000|68 73|EGL-10
P07891685A1051|68 72|Cat8p
P09651383A0967|66 70|HNF-4
P01845899A0000|68 72|Rep52
P09346935A0459|70 74|ZNF74
P09006914A0812|66 70|ATF-2
P10850719A0680|67 71|Vbeta
P10826946A1198|67 71|gp120
P07935375A1197|68 72|v-src
P09915798A1077|69 73|hsp90
P01314953A1266|66 69|HAP3
P08918885A1087|67 70|dig2
P08631685A0000|69 72|maoA
P10704410T0000|69 72|Mcm2
P09436989A1011|65 68|MOB1
P09662339A0744|67 70|AP-1
P08395004A0558|70 73|SIN1
P00201881A0487|65 68|ACTH
P11139469A0402|68 71|Tie2
P11152451A0529|68 71|Sj26
P10874044A0647|68 71|ERK1
P09077108A0458|67 70|IL-6
P08550470A1021|65 68|CheA
P02083199A1175|70 73|EGFR
P07500386A0870|70 72|GRD
P08144615A0533|67 69|TCD
P10545192T0000|72 74|ERK
P10913304A0894|67 69|PE1
P08709224T0000|66 68|SNF
P10965135A0735|70 72|ras
P10891399A1185|69 71|p21
P11473261A0587|68 70|GEF
P11413148A0573|64 66|BTK
P10329736A1106|67 69|Shc
P11522658A0870|66 68|p27
P02139891A0532|68 70|EIV
P08770021T0000|67 69|Ras
P08288554A0295|64 66|p32
P11504709A0981|67 69|TPO
P08195186A0000|68 70|Tea
P09448268A0186|64 66|nmo
P08067546A0000|68 70|ETO
P08259650A0640|66 67|HA
P08405433A0000|68 69|P1
P10662614A0972|67 68|P1
P11480490A0443|68 68|I
P07629163A0770|68 105|guanine nucleotide exchange factor domains
P08223613A0105|64 104|trehalose-6-phosphate synthase/phosphatase
P11287578A1311|71 106|10-kappaDa IFN-gamma-inducible protein
P09658405A0000|66 97|orphan nuclear receptor superfamily
P07854130A1387|68 98|chromosomal pilE insertion mutants
P02115121A0000|67 98|alpha-ketoglutarate dehydrogenase
P07585246T0000|67 95|Caenorhabditis elegans pre-mRNA
P10212278A0387|71 99|stress-activated protein kinase
P08640866A0473|67 94|anti-CD3 monoclonal antibodies
P10096573A0207|72 97|NF)-kappaB consensus element
P08639742T0000|65 87|wheat zinc finger proteins
P02294048A0881|68 89|hsp70 of Escherichia coli
P08514766A0732|68 91|GTPase-activating protein
P01452037A0000|73 96|3-phosphoglycerate kinase
P10704499A0682|69 90|fibroblast growth factor
P07983011A0617|69 91|serine/threonine kinases
P06795832A0148|65 85|HBs- and HBe-antibodies
P10585417A1412|69 89|human intermediate PRLr
P08816759A0000|65 84|retinoic acid receptor
P07754713A0227|66 84|ribosomal protein S24
P10673426A0168|69 87|N-terminal (T) domain
P02038326A0538|69 87|80S ribosomal couples
P08654983A0000|69 87|Bacillus subtilis (Bs
P10959838A0153|65 84|nitrilase superfamily
P11278594A0618|67 85|TGF-beta1 propeptide
P09209438A0994|68 86|GATA-binding protein
P07588608A1687|68 83|ets family of genes
P10501965A0879|68 84|ribosomal s6 kinase
P08355696A0236|66 83|AP-1-like sequences
P09473483A0953|66 82|dominant Rev mutant
P10704285A0536|70 86|AP-2alpha promoter
P08522511A1578|66 83|beta-glucuronidase
P11256962A0233|69 83|beta subunit gene
P11431472A0540|67 80|Rab1B, -5, -7, -8
P11438666A0555|66 80|homeodomain (PHD
P07698219A0551|66 80|laminin receptor
P02461368A0162|66 78|type X collagen
P11516890A0236|70 81|CYP 2D6 and 3A4
P09101085A0686|67 80|p27Kip1 protein
P01711041A0348|69 81|C5 alpha-chain
P01349837T0000|70 81|HSP60 and gene
P09924987A0000|69 81|N-glycosidase
P02033062A1169|69 80|chicken IGF-I
P10706688A0376|66 77|fasl promoter
P01386897A0000|65 75|CDC28 kinase
P10805286A0914|66 75|rat PCI cDNA
P09407031A0974|69 79|crb2 mutants
P02303158T0000|68 78|trk oncogene
P09383188A0654|65 75|O(rocD) site
P07753796A0743|67 77|eIF-2B alpha
P02993630A1190|66 75|nuclease S1
P09042755T0000|69 78|sigB operon
P10075415A1178|68 77|ru/AB genes
P11376119A0346|67 75|GHR 1A mRNA
P07517869A0411|70 80|C/EBP-delta
P11137296A1216|66 75|PFK-C genes
P10764150A0000|67 76|Raf kinases
P07499252A0150|67 76|PI 3-kinase
P03517388A0763|65 72|56 +/- 13 U
P08552095A0758|68 77|paf1 mutant
P07385920A0189|69 79|haemoglobin
P08647086A0720|69 77|H1 histone
P08602169A0484|66 74|wild type)
P09325273A1240|66 74|ubiquitin
P02637597A0362|68 75|serum ANA
P10223338A2186|66 73|HIV-2 gag
P09804779A1163|68 76|prolactin
P09990060A0937|69 77|GABPalpha
P10628750A0298|68 75|TNFalpha
P08661100A0285|68 74|App gene
P07592790A1457|68 74|serpins
P09731704A0000|69 75|ERalpha
P10344736A0796|67 73|p21Cip1
P09447973A0168|69 75|MyrSos1
P01716629A0000|70 76|undulin
P02989786A0328|67 72|CATase
P08756712A0227|67 71|RPA 70
P07509449A0000|67 72|p47gag
P10918599A0071|67 72|E2F-3B
P08939966A0816|68 72|SEC-1
P10588946A0432|68 72|ORP-6
P09121454A1328|67 71|Mot1p
P08262054A0565|69 73|LMP2A
P08106398A1003|66 70|nisin
P10400593A1084|68 72|virE1
P09311796A0218|69 73|IEP86
P02693208A0166|69 72|rad1
P11323411A0505|66 69|Gab1
P07665477A0901|66 69|esaI
P11395469A1373|66 69|sid1
P10359575A0317|69 72|hIgA
P11280799A1025|69 72|IL-8
P11008420A0580|67 70|ST-T
P08810278A0682|68 71|CRKL
P08264631A0746|68 71|ADR1
P10748113A0187|66 69|RIM1
P08386317T0000|72 75|CREB
P07935383A0108|67 70|CstF
P11211936A1490|69 72|SAPK
P11158326A1032|66 69|R47G
P08763953A0805|66 69|traG
P07941750A0344|66 69|HyuA
P09920930A0959|67 70|AP-1
P11572467A0658|67 70|t-PA
P07852400A0519|67 70|Rac1
P08647086T0000|69 72|Cdk2
P00725534A0888|66 68|IgA
P03568311A0273|69 71|RAP
P11062067A0000|70 72|JNK
P10207090A0801|68 70|p50
P02308496A0000|64 66|TSH
P11207308A0999|73 75|OSM
P08088777A0754|68 70|Dbh
P09774450A0000|70 72|GGL
P09305592A0000|69 71|abl
P08798643T0000|70 72|Cbl
P11296288A1107|69 71|pol
P09034337A0251|69 71|Y15
P09388198A1396|68 70|JNK
P03443566A0675|68 69|TR
P07683375A0000|66 67|E2
P09444316A0388|68 69|F0
P11840365A0949|66 67|SF
P09990507A0000|71 72|E3
P08474439A0877|67 67|A
P09192998A0356|67 67|T
P09858588A1046|69 69|S
P09658104T0000|68 109|Rous sarcoma virus long terminal repeat promoter
P11071852A0297|65 100|reverse transcription-polymerase chain
P11278400A0668|67 96|OCT binding) homeodomain proteins
P11294895A0292|69 96|Saccharomyces cerevisiae Sec14
P08413239A0490|70 94|Pol II-specific U snRNA genes
P09545332A0137|68 92|insulin receptor substrate 1
P08483412A0000|70 95|sigma 54-dependent promoters
P02969316A0002|68 91|atrial natriuretic peptide
P08576262A0160|70 92|heterotrimeric G proteins
P07635140A0172|67 90|tissue-specific promoters
P09514156A1147|69 90|GC receptor-GC complexes
P10545281A0836|70 91|C-terminal coding region
P08013457A0342|71 92|tyrosine kinase receptor
P01078982A0227|69 90|antilymphocyte globulin
P09139910A0350|69 89|nifV-like DNA fragments
P10469140A0336|68 88|PAI-2 proximal promoter
P02167321T0000|69 88|protein-2 binding site
P07935491A1182|72 91|retinoic acid receptor
P07707531A0550|68 86|alpha 4-2 binding site
P11118440T0000|71 89|tumor suppressor ING1
P11069756A2618|73 91|C-terminal SRC kinase
P01357190A0726|67 85|mutant glycoproteins
P11198424T0000|69 88|phytosulfokine-alpha
P10567430A0785|69 87|N-terminal construct
P11038366A1322|70 87|yeast B-type subunit
P11470914A0305|68 86|STAT3-dependent gene
P08400240A0166|67 83|A gamma-globin gene
P07936635A1134|68 83|wild-type protein
P08703010A0905|68 81|GAP-43 promoter
P09753241A0524|70 84|myeloperoxidase
P10471696A0734|65 77|HMR-E silencer
P08978817A0620|69 81|mutants end4-1
P08144631A0000|71 82|Src homology 2
P10390158A1150|68 79|tiGH promoter
P08664347A0923|69 80|human pro-LPH
P01864821A0000|67 77|globin chain
P10329736A0681|68 77|p85 subunit
P11504545A0393|72 81|NF1 factors
P08432696A1117|68 77|protease IV
P10760132A1169|67 76|Ypt protein
P07666414A0614|70 78|a promoter
P11179687A1118|70 78|Ig members
P10224293A2021|69 78|RPTP-kappa
P01321332A0970|69 76|RXR alpha
P09011744A0790|69 76|epsilon 1
P08226956A1397|68 75|fad7 mRNA
P09694897T0000|70 77|U6 snRNAs
P08721999A0727|67 73|28S rRNA
P09009208A0337|65 71|Tf1 mRNA
P09030781A0734|71 77|cyclin A
P01904154A0164|69 74|Ig loci
P07667097A0267|68 73|mAb CC3
P09858714A1171|69 75|sigma70
P09727046A0784|68 73|GATA-1
P10453006A0478|67 72|PSMB11
P08625987A1086|68 73|pre-BI
P11376007A0584|69 74|DNA-PK
P09507032A1144|70 74|CSF-1
P10454533A0859|67 71|Hsc70
P07629122A0323|71 75|NIM-1
P10819327T0000|70 74|KIF3A
P02493644A0588|66 70|jun-B
P09336455A0000|67 71|GAL10
P09099702A0692|66 70|P2-RE
P11704829A0312|74 78|mda-7
P11145887A1393|68 72|Fra-2
P01243628A0286|67 70|COHb
P09212059A1356|72 75|PR-A
P10790390X0000|71 74|mdg4
P10866323A0666|69 72|STAT
P08723352A0084|72 75|cdks
P07926748A0383|68 71|NOT3
P08824585A0260|69 72|HPK1
P01297332A0983|68 71|SWI4
P09718372T0000|71 74|Sty1
P07791760A0424|69 72|MAPK
P08280476A0602|67 70|Z2Z6
P08621384A0935|71 74|EGFR
P09367392A0567|67 70|RNA3
P10751398A1135|70 73|CD40
P10334888A0960|69 72|IL-8
P10557072A0127|70 73|ULK1
P10698516T0000|69 72|SAPK
P09049304A1193|69 71|VPF
P10675331A0600|70 72|Shc
P10825294A0473|67 69|LTR
P10529354A0375|69 71|20S
P08644734A0404|69 71|dsh
P09079625A0935|69 71|PKC
P09837978T0093|73 75|JNK
P10050883A0967|70 72|p53
P01542565A0220|69 71|L12
P07479004A0421|70 71|P1
P11480490A0443|70 71|Kr
P07951410A0647|67 68|RB
P02894789A0954|69 70|T1
P11416132A1351|70 70|n
P09050847A0180|71 125|human class I-specific transcription initiation factor TIF-IB
P10454570A0846|71 119|stress-activated protein kinase-Jun N-terminal kinase
P09343210A1112|71 112|chloramphenicol acetyltransferase constructs
P10402467T0000|70 103|urokinase-type plasminogen activator
P07663160A0287|70 99|Escherichia coli 16S ribosomal RNA
P08668210A0000|71 100|mitogen-activated protein kinase
P07473742A0187|68 97|vertebrate transcription factors
P09784063A0621|70 98|ORF5/deltaX transcript promoter
P03133250A0000|71 97|human menopausal gonadotropin
P09346938A1680|72 96|lysosomal cysteine protease
P11042199A0572|71 96|receptor-associated protein
P11000203A0752|69 93|K-Rev-dependent nuclear RNA
P06786756T0000|69 92|immunoglobulin delta genes
P01694009A0112|68 91|N-terminal signal sequence
P10542281A0382|69 92|immunoglobulin-fold motif
P11275986A0091|68 87|ubiquitin/proteasome
P08702936A0168|71 88|phytohemagglutinin
P06163433T0000|75 90|monoamine oxidase
P10471746A1102|69 84|Myogenin promoter
P07607342A0703|70 84|aldose reductase
P08975713A0454|68 81|p53p2 start site
P09784245T0000|71 84|protein kinase C
P11155096A0222|71 85|serum antibodies
P01388160A1102|68 81|epsilon peptide
P09451857T0001|72 85|creatine kinase
P07864652A0753|74 88|E2H1.L2(98-233)
P07616569A0168|69 82|apocytochrome b
P10349084T0000|71 84|immune globulin
P09640162A0242|71 83|growth hormone
P02166040A0385|70 82|chimeric genes
P09321657A0439|69 81|cox3 promoters
P09637689A0150|68 80|RNA polymerase
P01918073A0150|71 82|TnI sequences
P07539119A0291|70 81|NH2-terminus
P09694869A0932|66 76|p21 promoter
P08396261A0388|71 81|PKA subunits
P09735286A0599|68 77|Mu B protein
P09003001A1593|72 82|bHLH factors
P08111035A0098|68 78|oleosin gene
P08106325A0000|71 81|tox operator
P07836406A0884|72 81|cdc2 kinase
P11241215A0566|69 79|thioredoxin
P11282029A0075|72 81|CCAAT motif
P07665187A0208|67 76|Nramp1 mRNA
P10736223A1227|68 77|Qa promoter
P07988731A1301|69 78|GBF protein
P08474439A0877|69 78|T-rich site
P10491133A0365|69 78|HO isozymes
P07767011A0689|70 78|hprt locus
P05425195T0001|73 81|EC 2.6.1.2
P09225506A0462|71 78|V and VIII
P07759529A0288|69 76|phox gene
P08657150A1049|68 75|SIN5 gene
P09205113A0587|67 74|HPRT gene
P08645214A1052|72 79|catalase
P11283168A0738|70 76|Gus gene
P11080796A1277|70 77|IKKalpha
P02806916A0000|71 78|cystatin
P09344650A0967|70 77|Casr-rs1
P09840932A0365|68 74|cyclin A
P06755468A0180|67 73|cob gene
P09572491A1044|68 74|p53(242
P06281759A1086|69 74|PL mRNA
P10364076A0429|70 76|SREBP-1
P11181525T0000|73 78|AR gene
P08576042A0765|68 73|phrcA+
P10413607A0085|70 75|pepsin
P10951579A1238|71 76|wt-p53
P01657594A0472|71 75|cgs1+
P10787437A1616|69 73|SRE-1
P09192998A0356|69 73|phi))
P11251104A0526|71 75|GAMyb
P08345191A1140|68 72|bcl-2
P02188096A0955|70 74|c-myb
P08230445A0000|68 72|HIV-1
P11152283A0223|68 72|INS-1
P00231555T0001|74 77|ACTH
P09751114A1987|68 71|MyoD
P10594239T0000|71 74|Tih1
P03915540A0863|71 74|GCN4
P08336698T0000|71 74|TFE3
P10603349A1667|70 73|Myf5
P09409821T0000|70 73|umuC
P08598449A0784|69 72|CD38
P11438654A1237|70 73|PI3K
P10094701A0000|68 71|ackA
P08401614A0187|67 70|PAL2
P03199436A1060|72 75|petB
P01618256A0521|72 74|l-1
P11439343A0785|67 69|AF9
P10704338A0354|67 69|p24
P06460889A0111|72 74|SBP
P06763897A0216|70 72|AII
P09813203T0000|69 71|LAI
P10330168A0135|73 75|Cdk
P07652575A0435|69 71|Rho
P11327698A0191|69 71|Sp1
P09305755A0540|71 73|Sp1
P08843412A0543|68 69|TR
P11478627A0573|66 67|Y2
P10852485A0477|67 68|CS
P10526670A1828|72 73|CK
P10714985A1057|69 69|G
P10101198A0946|69 116|human mitochondrial transcription termination factor
P08522175A0306|69 118|heterodimeric nascent-polypeptide-associated complex
P01409643A0618|72 109|human immunodeficiency virus 1 TATA element
P01350780A0184|72 107|Escherichia coli gamma-glutamyl kinases
P10224289T0000|69 90|T cell receptor zeta chain
P08188258A0000|73 97|aminoacyl-tRNA synthetases
P07534297A0141|69 91|human AP endonuclease gene
P08051102A0532|70 93|B subunit-containing forms
P11321187A0355|71 94|C. pneumoniae-specific IgG
P06278424A0145|69 90|rearranged gamma 2b genes
P03628596A0000|70 92|acid alpha 1-glycoprotein
P07721878A1163|68 89|p33 Grb2-binding protein
P10864496A0401|71 91|nrgAB promoter fragment
P11133741A0617|73 94|NF-kappaB-binding sites
P10360839A1338|69 87|KRAB zinc finger genes
P11318608A0669|70 89|full-length DENTT cDNA
P02145268A1454|70 89|mammalian collagenase
P02333749A0411|69 86|serum IgE antibodies
P08294511A0639|69 87|U1-specific, protein
P07982995A0000|72 89|PDGF) beta-receptor
P05960999T0001|71 87|C-reactive protein
P01766666A0788|72 87|DNA-binding sites
P09108029A0399|70 84|DNA repair enzyme
P11007954A0170|71 84|Son of sevenless
P10491213A0263|73 86|bone Gla protein
P04033402A1112|73 88|HDL2-cholesterol
P09806546A1270|68 82|MHC-II promoters
P11313386A0704|72 84|B cell receptor
P08237578A0253|72 86|LDL-cholesterol
P09442072A0716|68 80|murine Hepa 1-6
P01313909A0526|70 83|wild-type virus
P08343961A0000|70 82|bicoid protein
P08756636T0000|71 82|Srs2 helicase
P10202006A1266|72 83|anti-Z-DNA Ab
P10931950A0869|73 84|wild-type p27
P02175908A0805|67 77|mutant locus
P03296254A0556|72 82|prothrombin
P11433014A0683|68 78|non-histone
P10864641A1400|72 81|HA molecule
P09895323T0000|70 79|Hoxb3 genes
P06959130A0996|68 76|factor IXa
P10561095A2141|71 80|calcitonin
P02024488A0506|67 74|HIV-1 LTR
P09032258A0395|74 81|NF-AT DNA
P07926774A0652|67 74|E2F sites
P01569584A0672|73 80|m6F6 cDNA
P08065901A0997|69 76|ZFP genes
P08995054A0618|70 77|gag genes
P06131378A0818|68 75|DHFR cDNA
P02383693A0301|71 79|lucigenin
P11044097T0000|72 79|U5 region
P00986925A0002|70 77|glucagon
P07876210A0751|71 78|P450BM-3
P08985415A1096|70 76|CAEV LTR
P08661101A0396|70 76|rat CRP1
P07859739T0000|70 76|p16INK4
P01711048T0000|69 74|COL1A2
P02243386A0113|68 72|DIssF
P11027267A0752|70 74|Kri1p
P07600111A0000|70 74|HIV-2
P09826434T0000|73 77|PDE3A
P07760844A0413|71 75|c-jun
P09880327A0322|69 73|Uso1p
P08213747A0000|71 75|HIV-1
P08383217A0357|69 73|Bel-1
P11368901A0327|68 72|RTE-1
P01516829A0460|70 73|SNF5
P10684111A1411|68 71|MAPK
P09032328A0650|72 75|DL-B
P08551572A0155|74 77|ICP4
P09884232A0286|71 74|attR
P10555285A1065|72 75|FUT3
P10467004A0683|68 71|EBS2
P10891399A1185|73 76|Cip1
P10913094A0424|72 75|AdpA
P08798635A0870|71 74|ARF5
P09487130A0383|69 72|Cdc2
P10653693A0429|73 76|RBCC
P06212776A0000|70 73|G6PD
P10611320A0816|73 76|CAK1
P10529198A0068|70 73|p140
P09611234A0098|72 75|LAZ3
P08676456A0879|72 75|AP-1
P10364523T0000|72 75|SOX9
P08106313A1492|68 71|HrpR
P07933101A0131|70 72|Tat
P09287352A0930|72 74|EGF
P08709224T0000|70 72|SWI
P10734312A0503|71 73|Shc
P09182707A0254|73 75|FAK
P10235265A0197|73 75|APC
P10802669A1434|71 73|A-T
P08421910A0599|68 70|p56
P01331501A0397|71 73|E1A
P02743981A0347|74 76|L1e
P11559821A1315|71 73|Tax
P11278610A0902|70 72|TEL
P10024882A0541|71 73|CTD
P09733794A1323|69 71|Bad
P10982825A0363|66 68|OpA
P09599897A0000|72 74|HSP
P08621420A1166|69 71|p65
P10823961A0664|69 71|ARC
P08405433A0000|71 72|P2
P10909973A1508|68 69|M1
P09265932A0575|70 71|L2
P10662614A0972|70 71|P3
P01341119A0450|70 71|H2
P09148935A0805|71 72|FN
P08769566A0000|70 113|zinc finger homeodomain enhancer-binding protein
P11289135A0975|70 105|mitogen-activated protein kinase kinase
P01658741A1047|70 101|Saccharomyces cerevisiae ADE 1 locus
P03920700A0491|74 105|muscarinic and alpha 1 adrenoceptors
P01993656A1860|69 101|guanine nucleotide-binding proteins
P09799362A0507|73 104|Asparagine-rich Zinc Finger protein
P08589735A0577|71 101|Arabidopsis alcohol dehydrogenase
P01502157A0000|71 100|P2 transcription initiation sites
P09524259A0301|70 98|kinase-negative mutant receptor
P08892755A0186|70 94|kinase-like (JH2) and kinase
P11319098A0164|72 96|antiterminator protein NusG
P01371272A1167|72 94|yeast DNA polymerase alpha
P11295470A0954|71 91|B cell specific promoter
P07823953A0777|66 85|I kappa B alpha molecule
P10393422A0476|70 89|LAMB2-like pseudogene
P02122454A1042|71 87|lambda I light chain
P08439564A0883|69 86|rat intrinsic factor
P08144615A0533|71 87|NF-IL6 bZIP domains
P11063127A0000|74 91|protein phosphatase
P09368026A0435|70 87|luciferase reporter
P02307850A0000|70 84|NK cell protease 1
P10428759A0743|73 89|chimeric receptors
P08626809A0729|73 89|eIF-2alpha peptide
P08395654T0000|72 87|rat aromatase gene
P10833461A0603|70 85|full length UGT2B7
P07559356T0000|72 87|Fnr-type promoter
P09573378A0761|70 84|28S ribosomal RNA
P09819411A0897|70 85|Ets-binding sites
P08647264T0000|72 86|antigen receptor
P07605990A1110|70 83|GM-CSF promoter
P07972012A0956|69 81|55-kDa protein
P08642313T0000|76 87|I kappa B-like
P08617311A0979|71 83|mammalian mIgG
P10523634A1404|70 82|Cbf5p proteins
P10228155A1293|72 83|beta-catenin
P08794363A0259|68 78|jun-fos gene
P09579808A0000|79 89|EC 2.4.1.143
P02330041A0335|74 83|cloned hUBF
P10606245A0906|72 81|OC promoter
P01548756A1102|72 80|EHS-1 loci
P07937106A0100|71 80|p68c-ets-1
P08270257A0551|70 78|NDP-K beta
P07537851A0891|75 83|Y) protein
P10395199A0792|71 78|Y259 scFv
P08190633A0000|69 76|HLA locus
P09731513A1090|73 81|NF-kappaB
P00377466A0188|74 82|prolactin
P09863624A2301|74 82|Tyr0-oCRF
P10458914A0674|70 77|STAP gene
P09090054A0186|70 77|permease
P09524276A0939|71 78|catalase
P09360956A0840|69 76|Thr-233)
P09199292A0536|72 78|cyclin A
P10480937A0000|71 78|DAKAP200
P06328012A0549|73 79|BamHI-K
P01671675A0483|71 77|pCAD142
P03020513T0000|71 76|gyrase
P07816049A1157|72 77|Athyp1
P03836777T0001|71 75|HBs Ag
P10843716A0406|73 78|mastin
P08001966A0563|72 77|skin-1
P08088777A0754|72 77|Notch1
P11207282A0729|72 77|Notch2
P07823951A1100|73 78|globin
P09712859A1110|70 75|HTLV-I
P08546707T0000|72 76|c-Rel
P08918885A1087|71 75|ste12
P08937989A1365|70 74|actin
P10653693A0903|71 75|KAP-1
P08575754T0000|75 79|INK4d
P11106428A0635|71 75|FAP-1
P11106667A1061|71 75|Cox2p
P11058120A0256|71 75|IRF-1
P08955402A0288|70 73|HOL1
P02200736A1003|71 74|MLTF
P09824158A1336|70 73|SMRT
P11589568A0744|71 74|Bub1
P09503526A0614|73 76|WFAg
P09786926A1372|70 73|ADD1
P09735366A1180|72 75|Epc1
P09321930A0567|70 73|WAF1
P09326317A0372|69 72|EXT1
P07862092A0302|71 74|sdp1
P03791645A1124|71 73|MAL
P10392903A0000|71 73|p53
P11152451A0529|73 75|GST
P10764802A1258|70 72|Cip
P09545312A1197|70 72|SRF
P08091669A0828|69 71|p35
P09512550T0000|71 73|CBP
P10828022A0877|72 74|Shb
P02083199A1175|75 76|IC
P11408099A0518|72 73|Se
P02647918A0588|71 72|GH
P09086268A0611|71 72|P2
P08625806A0263|69 70|r5
P10051030A1080|71 72|CP
P09733854A0198|73 74|LR
P10714985A1057|71 71|U
P08538702A0214|71 143|gp15/400 'ladder' protein of Brugia malayi, Brugia pahangi and Wuchereria bancrofti
P11016014A0181|72 109|apolipoprotein B-containing lipoproteins
P07916326A0000|73 104|murine homeodomain-containing gene
P09335608T0000|75 104|Drosophila myosin heavy chain gene
P09447979A1430|72 102|guanine nucleotide exchange factor
P03119227A0079|70 100|human c-abl proto-oncogene product
P02196565A0606|75 105|RAP1)/translation upstream factor
P07929431A0949|72 103|chloramphenicol acetyltransferase
P09751061A0000|73 99|homeodomain family of proteins
P09657003T0000|75 100|mitochondrial virus-like RNA
P08636124A0410|72 96|SH2-binding phosphoprotein
P10066815T0000|74 97|phosphoinositide 3-kinase
P09420252A0092|72 94|viral structural proteins
P08413223A0847|70 90|simian virus 40 promoter
P01532796A0107|70 89|alpha and beta subunits
P11264372T0000|75 93|herpes simplex virus 1
P11000266T0000|71 91|alpha-fetoprotein gene
P07597804A1007|68 87|glycoprotein gene EUS4
P10679922A1110|69 87|tumor suppressor gene
P11466227A1665|71 90|EB*-mTf-CAT construct
P08825633A0304|72 87|human G alpha q cDNA
P08361754A0733|70 88|Maf-related proteins
P02252891T0000|75 92|actin-binding sites
P00881630A0000|70 86|Direct Lytic Factor
P02445751A0925|70 86|cytochrome oxidase
P08157009T0000|71 87|mammalian clathrin
P08892755A0981|74 89|CAT) reporter gene
P06316347A0852|72 89|beta-galactosidase
P08649373T0000|74 87|human c-myc gene
P03597218A0901|75 89|antithrombin III
P02748595A0492|69 81|human ADH-beta
P09293006A1412|69 81|aphII promoter
P09442172A0908|73 85|gonadotrophin
P09010223A0667|72 83|PU.1 proteins
P08496601A1153|71 81|CK-1 element
P02496109A0754|72 82|alpha region
P09234696A0238|75 85|MAP) kinases
P08728040T0000|75 85|Janus kinase
P07708497A0000|75 84|T3 receptor
P09769209A0100|72 81|nasF operon
P08382778A0891|71 80|Raf kinases
P08632018A0587|72 81|UGT1A1 gene
P08810278A0682|73 81|SH2 domain
P11013079A0927|73 81|mouse gene
P09077108A0458|72 80|TNF-alpha
P10223338A1601|73 80|HIV-2 gag
P11012671A0576|74 82|C/EBPbeta
P09649438A0182|74 80|cyclin T
